country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
China,959.3724836,1053.108243,1148.50829,1288.643252,1508.668098,1753.417829,2099.229435,2693.969827,3468.304463,3832.235952,4550.453596,5618.132491,6316.918863,7050.64592,7651.366044,8033.388043,8078.790474,8759.041578
Cote d'Ivoire,651.3059068,664.1276599,716.5302619,869.7125786,921.2012511,930.8297425,949.1318153,1061.154064,1235.613488,1210.29545,1211.930285,1207.001398,1243.344509,1415.469277,1559.386652,1426.457845,1481.652305,1557.182948
Cameroon,649.9918454,651.1009075,707.8875674,865.9581375,1009.94312,1011.880073,1062.137433,1194.06985,1371.746708,1314.706015,1285.261726,1403.255638,1354.623087,1465.222327,1540.568182,1326.969277,1363.403851,1421.587492
"Congo, Dem. Rep.",405.216253,153.5910092,175.0099651,173.7961353,194.0399624,218.3861908,255.4330838,286.3304921,327.5637218,298.6196821,334.0215726,387.0824654,424.6003861,457.9637283,486.7870819,497.3169608,471.3188404,467.0742375
"Congo, Rep.",1029.577037,868.3399509,912.2781532,1026.107674,1324.219142,1680.204588,2064.344523,2165.745759,2956.264407,2314.266025,2809.694957,3282.393455,3032.667329,3047.064589,2992.931349,1761.32357,1814.063418,1702.571349
Colombia,2520.480898,2439.681789,2396.627303,2281.401927,2782.623053,3404.190199,3731.168489,4703.213157,5461.780726,5195.393376,6326.549469,7324.383286,8042.529769,8212.667829,8114.084264,6175.87603,5871.223524,6375.932063
Comoros,645.8186908,680.3185414,744.4751724,935.611518,1059.176884,1068.600321,1113.957757,1238.461514,1387.594626,1339.337191,1315.214806,1446.068018,1403.428519,1504.920859,1511.816083,1271.057042,1287.420965,1312.366174
Cabo Verde,1259.323656,1292.202785,1401.903733,1809.089925,2024.275248,2099.157484,2361.385134,3186.826892,3721.250949,3517.401245,3378.25486,3738.201166,3467.472684,3615.979041,3588.674054,3043.013984,3130.963385,3295.341106
Costa Rica,3772.870012,3944.737613,4024.6519,4129.632791,4385.390719,4654.824822,5201.514095,6071.789243,6859.079202,6760.478026,8141.913599,9121.931798,9913.210708,10490.08065,10547.15185,11299.13618,11666.45661,11752.5436
Caribbean small states,5247.245458,5369.77712,5595.471015,5938.819011,6453.992364,7249.137311,8038.465554,8913.062335,10046.08051,8400.749567,9075.706457,9743.619786,10007.37115,10090.02734,10149.19712,9916.666674,9242.035178,9442.912794
Cuba,2747.098575,2837.738018,2999.245244,3197.133754,3395.71205,3786.664793,4683.566155,5208.716073,5411.271418,5529.67036,5730.354775,6139.71933,6497.321113,6837.712892,7133.342095,7694.01192,8060.795886,8541.210673
Cyprus,14388.3467,14821.44552,16093.21868,20252.24214,23792.61793,24959.26591,26729.32675,31244.92801,35391.04006,32105.86748,30818.47993,32233.64339,28984.94455,27942.30127,27407.15286,23217.48415,24019.13787,25760.7627
Czech Republic,6011.61522,6609.20553,8032.896612,9773.117503,11685.88724,13346.17639,15183.63605,18373.649,22698.85396,19741.59763,19808.07109,21717.45794,19729.87051,19916.01939,19744.55861,17715.61685,18463.38658,20379.89604
Germany,23718.7467,23687.31689,25205.16445,30359.95215,34165.93403,34696.62092,36447.87232,41814.8191,45699.19832,41732.70725,41785.55691,46810.32796,44065.24891,46530.91143,48142.8272,41394.65816,42443.46507,44681.08258
Djibouti,768.1760767,780.9082226,791.3894782,818.8666298,863.2316123,904.7297489,967.6686229,1052.725652,1223.856861,1267.312801,1343.26873,1451.54298,1559.240651,1499.767022,1619.05148,1787.4775,1898.87599,1953.903502
Dominica,4787.780171,4883.723663,4771.040927,4897.44175,5217.230416,5160.224314,5518.399108,5952.056669,6469.145738,6902.85717,6967.245314,7065.053067,6848.418067,7068.535745,7364.996522,7597.750446,8070.290917,6951.303542
Denmark,30743.54768,30751.65435,33228.69354,40458.7774,46511.59833,48799.8256,52026.99951,58487.05497,64322.0635,58163.27688,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.856,54467.10452,57218.85485
Dominican Republic,2869.105861,2977.148428,3136.155187,2445.435893,2528.577199,3970.32284,4134.683785,4729.664373,5105.580925,5051.465369,5568.046676,5891.159025,6107.977431,6236.104369,6499.149883,6691.71692,6957.564507,7222.554044
Algeria,1765.022577,1740.606649,1781.826864,2103.381467,2609.952692,3113.094651,3478.710436,3950.513605,4923.630818,3883.271127,4480.785777,5455.84231,5592.22191,5499.587764,5493.056772,4177.888966,3948.811897,4048.285258
East Asia & Pacific (excluding high income),955.2500408,1006.931392,1104.698564,1239.97527,1426.460066,1639.370561,1959.407618,2458.850426,3089.503619,3325.112351,4002.599653,4855.832973,5375.715573,5887.596083,6282.875322,6487.756902,6554.791243,7081.776379
Early-demographic dividend,1332.573106,1296.601681,1237.701383,1353.888754,1547.118009,1774.520024,2001.416401,2335.955204,2590.752842,2456.733986,2938.879732,3246.211837,3354.503243,3367.696207,3439.546743,3291.528607,3321.457299,3545.022221
East Asia & Pacific,4044.318591,3728.423093,3756.306539,4097.225585,4560.565762,4830.346116,5085.666323,5648.005295,6476.841334,6626.676146,7673.741646,8836.854594,9392.895426,9433.150535,9647.929555,9526.576304,9766.122869,10332.83226
Europe & Central Asia (excluding high income),1779.102222,1768.179651,2025.153905,2551.688083,3377.850505,4280.504347,5248.102405,6785.17075,8381.804782,6561.730129,7773.169715,9555.609269,10063.02679,10633.84328,9885.828581,7517.912478,7161.513553,7979.76034
Europe & Central Asia,11627.67855,11731.70462,12813.14535,15562.52776,18085.40901,19206.50038,20726.81189,24140.43883,26399.39014,23128.7248,23572.57527,26053.05278,25010.97995,26014.02812,26249.60504,22500.03684,22328.77633,23517.20535
Ecuador,1445.279324,1894.615169,2172.101877,2425.851842,2691.278081,3002.136867,3328.882972,3567.836438,4249.019262,4231.615798,4633.590358,5200.55579,5682.045007,6056.330827,6377.09153,6124.491643,6060.093329,6213.501276
"Egypt, Arab Rep.",1450.476242,1391.707846,1228.937975,1138.664673,1063.003663,1187.51969,1398.190624,1667.843721,2044.527855,2329.23948,2644.817039,2791.954962,3232.648892,3264.378787,3378.831358,3598.970948,3525.020165,2440.510173
Euro area,20181.62388,20438.36776,22133.45754,27159.27925,30978.2419,31985.37011,33802.30781,38724.62304,42255.31054,38511.18667,37635.97189,40638.0356,37635.10616,39142.03909,39883.2009,34412.45439,35175.70108,37047.77561
Spain,14676.70609,15323.6114,17019.53541,21495.70741,24918.64584,26510.71745,28482.60948,32709.40104,35579.30993,32334.00548,30736.62785,31835.2888,28563.85904,29211.77375,29623.16445,25817.38661,26622.29914,28208.26105
Estonia,4070.032827,4498.957027,5308.347781,7174.237415,8850.465115,10338.31322,12595.41065,16586.4052,18094.54805,14726.31828,14638.60482,17454.84342,17421.89022,19072.23852,20247.1993,17412.44867,18228.05825,20200.37559
Ethiopia,124.4608003,120.765782,111.9272235,119.490391,136.4662556,162.4327265,194.6874305,244.2860372,326.4368267,380.5690479,341.5541149,354.4795758,467.0779272,499.5315721,566.9264665,639.3043597,716.8800387,768.0104163
European Union,18250.30918,18430.6157,20045.8575,24306.22935,27951.75367,29120.33007,30950.59862,35636.42072,38198.6029,34035.82372,33729.24065,36456.54845,34284.28744,35635.2239,36735.32708,32265.88088,32376.28376,33873.285
Fragile and conflict affected situations,653.5998774,585.1764353,548.3392036,607.0075151,686.8515142,813.8781398,939.8486725,1128.064259,1424.770975,1296.213698,1510.916231,1611.6917,1812.548337,1843.283023,1820.359085,1604.72826,1505.914919,1646.063393
Finland,24253.25042,24913.24452,26834.02625,32816.16088,37636.11173,38969.17163,41120.67651,48288.5491,53401.31487,47107.15571,46202.41516,50790.72415,47415.55987,49638.07713,49914.61864,42494.65662,43493.41934,45809.97338
Fiji,2076.568784,2039.625697,2260.258398,2837.892246,3334.931667,3659.579329,3747.860716,4072.10157,4167.670285,3362.816555,3652.527437,4371.45751,4591.555784,4840.693716,5605.570356,5390.745258,5647.347365,6006.360622
France,22364.02939,22433.55571,24177.33517,29568.38595,33741.26515,34760.18777,36443.62344,41508.43399,45334.11444,41575.41875,40638.334,43790.73205,40874.70351,42592.93409,43008.64738,36613.37522,36962.22229,38679.12715
"Micronesia, Fed. Sts.",2171.526601,2239.854254,2256.782211,2294.435038,2251.78898,2357.031537,2404.573365,2456.322048,2538.738495,2718.7832,2881.376141,3001.470275,3120.669627,2983.597983,2959.620647,2894.345011,2993.200563,3018.396899
Gabon,4125.716664,3989.556606,4121.958645,4922.376526,5729.296958,6888.627147,7214.914544,8447.078591,10212.81943,7690.052235,8840.730664,10795.50058,9814.038992,9680.824339,9650.574376,7381.746749,6979.709196,7212.535744
United Kingdom,27987.75116,27500.14578,29863.58907,34265.1276,40068.31145,41803.89138,44326.9146,50293.44055,46985.56797,38454.2265,39079.84261,41652.55709,42018.72546,42938.42518,46967.66814,44472.1517,40539.91961,39932.06029
Georgia,749.8961143,801.9904139,853.5279011,1010.00798,1305.047486,1642.775074,1996.057129,2635.353882,3324.735879,2822.651737,3073.524753,3842.618221,4249.670165,4341.435122,4438.687497,3756.383768,3857.281728,4045.41705
Ghana,258.4709595,269.0149984,304.5645608,367.8215216,417.5081649,491.9463779,911.9986756,1078.160509,1210.622257,1074.75538,1298.436952,1558.482133,1613.286837,2378.159512,1968.858263,1766.005701,1931.38947,2025.885857
Guinea,363.482479,336.6300919,343.5373419,393.7399293,410.7612161,322.4156816,453.4035185,659.992723,715.0968204,674.0855502,672.4244026,651.1353635,717.0507379,769.0039433,787.2380702,769.2560137,733.0207588,821.6514609
"Gambia, The",594.151643,505.4201497,411.7724804,335.906217,386.7527625,404.3251037,411.6196713,487.1704917,571.7099709,517.525945,530.7876934,486.049535,477.7012604,696.1521248,622.054103,668.3812029,671.1052855,672.7805341
Guinea-Bissau,308.1441193,319.6774918,331.4938718,371.2198274,404.3491366,436.3020197,429.6222659,493.0704969,597.5763927,557.1716148,557.6321326,702.7428804,616.4116862,634.482446,622.4817167,603.1585129,661.0076549,736.7255662
Equatorial Guinea,1725.554738,2313.151289,2744.208156,3618.576094,6152.131238,10963.28936,12857.33605,15908.39183,22942.58345,16667.93682,17272.00977,21613.54923,21712.39502,20384.92453,19368.23091,11278.92894,9244.051798,9738.434224
Greece,12042.95373,12538.17883,14110.31339,18477.57841,21955.10409,22551.73574,24801.15781,28827.32636,31997.28201,29710.9703,26917.75898,25916.29353,22242.68193,21874.8195,21760.9798,18167.77372,18116.45962,18883.46007
Grenada,5057.173965,5040.670468,5213.896269,5682.5961,5741.598633,6644.02496,6658.540847,7212.506822,7832.423352,7290.6971,7257.756622,7291.058897,7444.504768,7789.776381,8369.886755,9096.870646,9628.347487,10163.62985
Guatemala,1655.58773,1568.376309,1701.771491,1753.349471,1872.737083,2077.83438,2256.56505,2489.948385,2794.213788,2635.748748,2825.519029,3187.866203,3299.665605,3452.921679,3687.836951,3923.573344,4140.590064,4470.610798
Guyana,954.4041525,955.6653806,974.9491933,997.2100346,1056.423886,1105.496454,1954.133308,2331.200342,2566.887085,2756.819889,3033.247725,3425.436441,3788.146749,3934.865262,4031.600662,4166.134826,4542.622067,4586.054572
High income,25593.37987,25179.59546,26074.25654,29038.62778,32098.7283,33715.09542,35334.79884,38341.16004,40417.88872,37632.6843,39169.92484,42067.232,41867.82061,42121.52473,42775.9173,40165.80357,40761.64977,42350.05631
"Hong Kong SAR, China",25756.66378,25230.21633,24665.89,23977.01945,24928.10037,26649.7508,28224.21506,30594.01784,31515.66277,30697.34038,32549.99823,35142.48793,36730.8767,38403.77771,40315.28556,42431.88828,43734.24999,46220.50455
Honduras,1080.462129,1120.553339,1122.063575,1145.499193,1204.47989,1296.694822,1420.133633,1572.064502,1727.829215,1777.271169,1891.157395,2073.903958,2129.521698,2088.097944,2190.650715,2286.200039,2326.297027,2432.935364
Heavily indebted poor countries (HIPC),344.3959004,319.0247978,333.5752463,369.3324612,412.871117,456.61086,528.7045328,614.5754217,722.1557822,706.4881394,759.4144019,825.3683617,863.6114447,937.1300373,963.6648716,920.4532125,917.3080522,991.9852918
Croatia,4873.053306,5416.65355,6245.319417,8055.788163,9646.289588,10521.03386,11691.62276,13948.69601,16357.17606,14582.22735,13937.14227,14577.19889,13250.75712,13665.91418,13609.49731,11780.13124,12366.82154,13383.6835
Haiti,467.1475588,417.762646,396.6338208,332.6147785,391.0346157,468.7572696,508.9688066,619.8127742,678.8447898,672.0369979,665.6274195,744.2174268,769.7073834,812.68869,831.9598193,815.7282844,735.7551202,765.6139847
Hungary,4633.312923,5283.034459,6665.961242,8423.350987,10296.33979,11205.97134,11447.81687,13907.50338,15739.73541,13029.88338,13092.23376,14118.12263,12888.30459,13668.22605,14197.837,12503.68207,12839.58454,14278.8745
IBRD only,1457.784715,1462.502448,1469.217267,1636.171292,1926.133756,2279.41079,2675.635198,3292.688282,3913.330263,3759.577502,4520.904795,5288.379905,5566.435224,5825.141611,5957.2889,5569.060182,5547.990636,6052.038611
IDA & IBRD total,1236.24192,1234.785192,1242.280659,1379.45153,1617.692583,1905.024278,2234.516469,2729.921878,3234.665328,3099.738116,3702.821785,4308.06761,4525.247981,4733.183711,4842.614519,4525.228811,4483.588036,4859.047841
IDA total,424.533635,410.7036782,432.0708229,474.5988829,544.3799123,618.6502404,739.0504839,846.1514606,992.8492791,948.6315599,1068.2047,1189.377261,1254.491417,1347.179597,1432.009055,1373.110467,1309.391769,1345.833462
IDA blend,547.6484982,537.0638569,580.4349342,637.2545828,762.4537634,894.1584804,1127.292079,1272.083366,1478.564293,1348.866937,1537.548633,1733.9069,1864.973249,1981.713979,2125.490646,1973.224112,1787.140292,1733.460499
Indonesia,780.190201,748.2576157,900.1775757,1065.648539,1150.261315,1263.287321,1589.801489,1860.002763,2166.854167,2261.247224,3122.362815,3643.043936,3694.348946,3623.911582,3491.624791,3331.695128,3562.845756,3836.913814
IDA only,359.5979646,344.0879377,353.8854188,389.022454,429.8985325,474.2157809,535.7243409,623.0209268,738.8172001,740.9239464,823.4779359,904.086198,932.9598747,1013.073632,1065.755336,1057.633648,1061.022241,1148.309578
India,443.314204,451.5730119,470.9867972,546.7266276,627.7742623,714.8610803,806.7532837,1028.334759,998.5222694,1101.960919,1357.563701,1458.103145,1443.879529,1449.605912,1573.881492,1605.605431,1729.268021,1981.499045
Ireland,26241.36461,28227.72753,32541.0986,41106.92527,47631.01066,50878.22361,54306.42932,61359.74138,61262.10056,52105.15248,48715.17686,51848.90973,48917.89756,51590.18845,55492.98268,61995.42278,63197.08237,69649.88274
"Iran, Islamic Rep.",1670.00947,1909.412278,1911.678792,2253.936132,2756.198742,3246.051029,3774.357841,4904.666252,5630.442995,5677.888522,6603.212269,7818.057232,7927.647542,6111.440608,5608.602512,4916.085938,5265.906635,5627.749268
Iceland,32018.06325,28793.9599,32326.63774,39423.92732,47367.28186,56658.58959,56673.59304,69054.2708,56409.77346,41333.41987,43024.92384,47516.87574,45910.0209,49522.23697,54242.05468,52428.59576,61757.94931,71314.7742
Israel,21027.78173,20293.73071,18423.50267,18955.83302,19876.91614,20549.67114,21830.04136,24894.27768,29548.06352,27713.44703,30659.12775,33701.2131,32543.45515,36344.31551,37733.59292,35855.27504,37371.62691,40543.58417
Italy,20051.24215,20400.81111,22196.50675,27387.22632,31174.56109,31959.26295,33410.74744,37698.78665,40640.18386,36976.84553,35849.3732,38334.68385,34814.12512,35370.27526,35396.66572,30170.5166,30830.92266,32155.20587
Jamaica,3384.694861,3431.416469,3599.973172,3469.151565,3725.109093,4089.198442,4321.043327,4633.944386,4917.718398,4316.231053,4696.841894,5100.396955,5206.906722,4964.832794,4817.925925,4892.897447,4842.045011,5060.544924
Jordan,1651.622443,1720.358789,1802.057775,1876.26141,2044.962623,2183.396157,2513.031668,2735.38314,3388.803832,3477.978798,3656.453675,3775.519303,3827.294451,3952.340311,4047.553142,4097.411436,4109.574819,4168.641604
Japan,38532.04088,33846.46564,32289.35054,34808.39092,37688.72234,37217.64873,35433.98896,35275.22843,39339.29757,40855.17564,44507.67639,48167.99727,48603.47665,40454.44746,38109.41211,34524.46986,38794.33094,38331.9794
Kazakhstan,1229.000958,1490.92709,1658.030785,2068.124118,2874.288291,3771.278957,5291.57565,6771.414797,8513.564645,7165.223175,9070.488253,11634.0019,12386.7,13890.63177,12807.26069,10510.77189,7714.841844,9030.318806
Kenya,397.4826588,395.3295318,389.542711,429.7878437,451.6687159,511.6164222,685.9545322,825.6665976,902.0700258,905.1317861,951.6879611,971.633329,1136.871406,1210.388014,1315.804535,1336.883349,1410.527571,1568.201541
Kyrgyz Republic,279.6204249,308.4087767,321.7266063,380.5073398,433.2349766,476.55213,543.1107024,721.7686908,966.3936272,871.2243893,880.0377751,1123.883168,1177.974735,1282.437162,1279.769783,1121.082835,1120.666513,1242.769643
Cambodia,302.5771636,321.1503013,338.9872627,362.3357077,408.5138263,474.1112278,539.7501687,631.5248421,745.6091807,738.0547836,785.5022829,882.2754926,950.880346,1013.420401,1093.496191,1162.90492,1269.591257,1385.25998
Kiribati,796.8881748,735.0262947,826.9452801,1015.724172,1131.140005,1214.556667,1168.448531,1374.452153,1428.120516,1311.999002,1516.811869,1735.018358,1788.505421,1715.765331,1642.762597,1542.57525,1584.807446,1625.57597
St. Kitts and Nevis,9836.195828,10660.41194,11011.37931,10631.40714,11424.97322,12329.66118,13883.42353,15152.13488,16465.05014,15783.58386,15643.56682,16557.69072,16044.11613,16878.19046,18057.61531,18286.31939,18575.75173,19060.57072
"Korea, Rep.",11947.57913,11252.90755,12782.52553,14209.38852,15907.66583,18639.52221,20888.38015,23060.70788,20430.63946,18291.9196,22086.95292,24079.78852,24358.78218,25890.01867,27811.36638,27105.07623,27608.24743,29742.83886
Kuwait,18439.90039,16588.72787,17846.32606,22148.06767,27012.19027,35590.70407,42782.09235,45782.83864,55495.23113,37539.25602,38577.38166,48618.88229,51978.99848,49388.1094,44062.3051,29869.52939,27653.1644,29474.54143
Latin America & Caribbean (excluding high income),4223.899312,4065.610854,3567.26183,3582.732764,4068.40167,4881.689304,5659.584379,6632.470321,7673.023299,7106.037595,8760.299195,9861.548467,9815.650853,9927.199022,10050.95922,8449.223414,8131.541009,8959.802025
Lao PDR,325.1869982,326.9419076,320.0615179,362.8214135,417.9285042,475.6107135,590.6327074,710.344815,900.3236718,948.6539323,1140.599205,1378.361365,1581.395403,1825.665113,1998.335215,2134.704224,2308.802616,2423.846203
Lebanon,4491.637259,4422.387076,4579.459593,4576.390746,4627.657988,4573.536073,4632.312707,5217.471718,6134.13043,7371.100639,7756.744069,7703.389472,7985.854941,7923.851717,7712.062848,7649.832611,7634.946544,7838.343385
Liberia,306.8328947,306.7103554,306.473737,243.0893405,286.0649989,294.8930368,336.1156743,396.6017613,478.3999379,470.9476196,513.4456986,596.8970811,657.9362563,721.9300554,721.1827948,710.3838577,714.6233922,698.7017644
Libya,7142.774452,6266.490972,3703.048308,4673.143913,5800.597969,8163.010778,9336.35667,11300.19134,14382.57629,10275.26656,12064.78069,5554.179164,13025.28139,10363.78949,6466.91027,4337.919139,4038.970683,5792.06511
St. Lucia,5323.375357,5047.027828,5050.875503,5502.487593,5897.546642,6216.823627,6860.323872,7632.043989,7568.453414,7425.026672,8037.472967,8227.394082,8139.892046,8343.795374,8650.818281,9160.734157,9377.886858,10003.25987
Latin America & Caribbean,4389.801652,4235.013334,3748.739033,3779.711304,4300.40895,5134.447776,5946.130227,6922.367591,7951.528389,7386.953826,9058.33022,10184.85262,10177.56297,10316.48882,10405.4843,8856.928817,8561.875358,9397.620709
Least developed countries: UN classification,323.6997051,300.9313541,318.6768961,352.7048519,395.1168989,453.02676,517.9797525,606.093558,735.2844136,716.4826284,804.0226443,901.5127161,940.3088576,994.3154133,1055.252825,1020.578572,997.1653259,1093.811323
Low income,314.4420326,286.6555751,296.7831969,313.6924307,350.3443601,390.9657395,428.4090736,501.4508832,597.4223479,595.788536,638.2310085,696.4949413,733.2472295,783.1790758,822.2763324,792.2081299,737.9746148,767.8929041
